Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-09-01 13:43:10;5;Замечательная тушь. Разделение каждой реснички;0;0
2022-09-01 13:15:42;5;Самая лучшая тушь!;0;0
2022-09-01 11:16:41;5;Очень хороший;0;0
2022-09-01 10:55:24;5;Тушь просто класс!довольна выбором и ценой!;1;0
2022-09-01 09:46:03;5;Тушь соответствует описанию. Спасибо.;0;0
2022-09-01 09:38:34;5;Отличная тушь, беру только ее;0;0
2022-09-01 09:12:59;4;Тушь пришла совершенно без всякой упаковки;0;0
2022-09-01 08:55:42;5;все отлично, пришла в упаковке) круто удлиняет;0;0
2022-09-01 06:19:34;5;Отличная тушь. Реснички тонкие и длинные.;1;0
2022-09-01 03:37:50;5;Хорошая тушь. Давно ей пользуюсь;0;0
2022-09-01 03:19:46;5;Спасибо, стоит брать;1;0
2022-09-01 01:22:56;5;Тушь супер;0;0
2022-08-31 23:51:22;2;"Тушь пришла без упаковки ((((!
без каких либо защитных наклеек!";0;1
2022-08-31 23:27:22;5;Взяла по отзывам , ещё не пробовала;1;1
2022-08-31 22:37:22;1;Тушь пришла без упаковки. Нет защитной пленки на колпачке.;1;1
2022-08-31 21:52:02;5;отличная тушь;0;0
2022-08-31 21:23:29;5;Тушь классная ! Пришла упакована ! Беру не первый раз !;0;0
2022-08-31 21:00:54;5;Классная тушь;0;0
2022-08-31 20:57:17;5;Отличная тушь, уже лет 10 пользуюсь.;2;0
2022-08-31 19:46:59;1;Всегда пользуюсь, здесь впервые заказываю , как получила сразу не понравилось , штрих наклеили прям на флакон , не запечатана была , не красит а мажет , как будто крем для обуви 🤬😱😤 пришлось бежать покупать в магазине повторно;2;0
2022-08-31 19:37:52;5;Тушь классная,  покупаю её периодически в магазине,  впервые купила здесь,  цена приемлемая,  качество отличное.;0;0
2022-08-31 19:37:47;5;Хорошая тушь, реснички разделяет;0;0
2022-08-31 18:56:12;1;Тушь пришла сухая ,была не полностью закрыта.Не советую.;2;0
2022-08-31 18:17:25;5;Хорошая тушь.;0;0
2022-08-31 17:34:48;5;Отлично 👍;0;0
2022-08-31 16:44:41;5;Туш очень хорошая. Беру не в первы раз) рекомендую !;0;0
